Date;Close
20/05/2016;12.469.999.694.824.200
23/05/2016;1.221.500.015.258.780
24/05/2016;12.180.000.305.175.700
25/05/2016;1.214.000.015.258.780
26/05/2016;121.5
27/05/2016;12.130.000.305.175.700
31/05/2016;12.155.000.305.175.700
01/06/2016;1.219.000.015.258.780
02/06/2016;123.0
03/06/2016;1.270.999.984.741.210
06/06/2016;1.316.999.969.482.420
07/06/2016;1.321.999.969.482.420
08/06/2016;13.964.999.389.648.400
09/06/2016;1.339.499.969.482.420
10/06/2016;1.369.499.969.482.420
13/06/2016;1.373.000.030.517.570
14/06/2016;13.510.000.610.351.500
15/06/2016;1.381.999.969.482.420
16/06/2016;139.5
17/06/2016;140.75
20/06/2016;139.5
21/06/2016;138.5
22/06/2016;1.369.499.969.482.420
23/06/2016;139.25
24/06/2016;13.435.000.610.351.500
27/06/2016;134.5
28/06/2016;13.889.999.389.648.400
29/06/2016;14.285.000.610.351.500
30/06/2016;14.410.000.610.351.500
01/07/2016;14.485.000.610.351.500
05/07/2016;1.441.999.969.482.420
06/07/2016;1.419.499.969.482.420
07/07/2016;1.404.499.969.482.420
08/07/2016;142.75
11/07/2016;1.479.499.969.482.420
12/07/2016;1.459.499.969.482.420
13/07/2016;1.461.999.969.482.420
14/07/2016;1.503.000.030.517.570
15/07/2016;1.456.999.969.482.420
18/07/2016;1.478.000.030.517.570
19/07/2016;14.464.999.389.648.400
20/07/2016;147.0
21/07/2016;14.685.000.610.351.500
22/07/2016;14.189.999.389.648.400
25/07/2016;14.110.000.610.351.500
26/07/2016;14.160.000.610.351.500
27/07/2016;1.411.999.969.482.420
28/07/2016;14.214.999.389.648.400
29/07/2016;1.461.999.969.482.420
01/08/2016;1.434.499.969.482.420
02/08/2016;141.25
03/08/2016;14.039.999.389.648.400
04/08/2016;14.210.000.610.351.500
05/08/2016;142.5
08/08/2016;14.110.000.610.351.500
09/08/2016;14.110.000.610.351.500
10/08/2016;13.864.999.389.648.400
